Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Azerbaijan,Lachin corridor blockade protests,22-Dec,Not free,"Dozens of Azerbaijanis blocked the Lachin corridor, which connects Armenia to Nagorno-Karabakh.",Perceptions that the Azerbaijani government was supporting the people blocking the Lachin corrider; anger and fear over resulting humanitarian crisis.,">6,000",Residents of Nagorno-Karabakh,9 months,"On September 19, Azerbaijan launched a military operation against Nagorno-Karabakh, decisively ending the breakaway region's quest for statehood. Within 10 days, an estimated 80 percent of Nagorno-Karabakh's population fled across the Lachin Corridor to Armenia.",,,X,,,Thousands,,,,X,,Baku
Belgium,Cost of living protest,22-Dec,Free,The country's three largest trade unions called for a protest.,Surging gas and electricity prices.,"16,500",Public sector employees.,1 day,No policy/leadership change in response to protest.,,X,,,,Thousands,,,,,,Brussels
France,Kurdish protests,22-Dec,Free,A gunman killed three people at a Kurdish cultural center and nearby Kurdish cafe in Paris.,Fear of insufficient protections for France's Kurdish population; frustration over government inaction to prevent attacks; grief in commemoration of the 10th anniversary of a similar attack that killed three Kurdish women in 2013.,">10,000",Kurds,2 weeks,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,,,,Paris
France,Anti-immigration bill protest,22-Dec,Free,"The French government moved forward with plans to pass legislation that would allow migrants with a deportation order to be put on a ""wanted list"" in order to streamline deportations.",Solidarity with undocumented migrants.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Paris
Iraq,Activist prison sentence protests,22-Dec,Not free,"A court in Baghdad sentenced Hayder Hamid al-Zaidi, a 20-year-old Iraqi activist, to three years in prison for a tweet he allegedly posted that insults Abu Mahdi al-Muhandis, the former deputy commander of the Popular Mobilization Forces.",Outrage over the length of the prison sentence; anger over the lack of political pluralism in Iraq.,>100,Residents of Nasairiyah,2 days,"Prime Minister Mohammed Shia al-Sudani ordered a security delegation be sent to the province ""to investigate the casualties among the demonstrators.""",,,X,,,Hundreds,,,X,,,Baghdad
Jordan,Dignity strike and protest.,22-Dec,Not free,An increase in fuel prices.,"A rise in unemployment, debt, inflation, and food and energy prices.",>100,Truck drivers.,2 weeks,No policy/leadership change in response to the protests.,,X,,,,Hundreds,,,,,,Amman
Liberia,Antigovernment protests,22-Dec,Partly free,Rising costs of food and fuel.,Frustration with government inaction to reduce economic hardships; frustration with President Weah's 48-day absence from the country.,">1,000",General public.,2 days,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Monrovia
Malta,Abortion bill protest,22-Dec,Free,The Maltese parliament introduced a bill that would permit legal abortion in cases where the mother's life is at risk.,Fears that liberalization of the country's abortion laws will lead to wider acceptance of abortion.,"20,000",General public,1 day,No policy/leadership change in response to protest.,,,X,,,Tens of thousands,,,,,,Valletta
Mongolia,Coal theft protests,22-Dec,Free,"Allegations that corrupt officials stole and sold 385,000 tons of coal from the national stockpile for private gain.","Frustration over high rates of poverty, inequality, and inflation.",">1,000",General public.,3 weeks,"Mongolian authorities created an investigative committee, arrested several officers, and announced plans to reform the state-owned mining firm and placed it under state supervision.",,X,X,X,,Thousands,X,,,,,Ulaanbaatar
Montenegro,We are many protests,22-Dec,Partly free,The country’s parliament introduced and passed a controversial law that strips the president of his decisive role in appointing the prime minister.,Rising tensions between the country's pro-Serbia/pro-Russia and pro-West factions.,">10,000",Supporters of the opposition,1 day,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,,,,Podgorica
Peru,Dina Boluarte protests,22-Dec,Partly free,"Congress removed President Pedro Castillo on December 7, 2023. He was then arrested and sentenced to eighteen months of pre-trial detention on rebellion charges. Vice President Dina Boluarte was sworn in as president that same day.",Anger over Pedro Castillo's arrest and Dina Boluarte's ascension to the presidency.,">20,000",Opponents of President Boluarte.,3.5 months beginning December 2022; 1 month in July 2023,"On December 16, 2022, Education Minister Patricia Correa and Culture Minister Jair Perez resigned.",,X,X,X,,Tens of thousands,X,,X,X,,Lima
Syria,2022 economic crisis protests,22-Dec,Not free,The country's deteriorating economic situation.,"Frustration with government ineffectiveness in combating rising prices, power cuts, food and fuel shortages.",200,Druze citizens of Sweida Province.,1 week,No policy/leadership change in response to protests.,,X,X,,,Hundreds,,,X,,,Damascus
Turkey,Ekrem Imamoglu protests,22-Dec,Not free,A criminal court sentenced Istanbul Mayor Ekrem Imamoglu to two years in prison and banned him from politics for insulting public officials in a speech he made after he won Istanbul’s election in 2019.,Frustration with a lack of political pluralism and suppression of dissent in Turkey.,">1,000","General public, especially supporters of the opposition.",2 days,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Ankara
Angola,2022 election protests,22-Aug,Not free,The Constitutional Court threw out a complaint by the runner-up of the 2022 election which claimed that the vote was flawed.,Perceived unfairness of electoral processes; frustrations with nearly five decades of uninterrupted MPLA rule.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Luanda
Argentina,Kirchner prosecution protest,22-Aug,Free,Prosecutors requested a 12-year prison sentence against Vice President Cristina Fernández de Kirchner for corruption,Anger over perceived political and judicial persecution against Vice President Kirchner,">1,000","General public, especially supporters of Cristina Fernández de Kirchner.",1 day,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Buenos Aires
Bangladesh,Fuel price hike protests,22-Aug,Partly free,The government increased the price of fuel.,Fears over worsening economic conditions due to high inflation.,">1,000",General public.,2 weeks,The government reduced the price of fuel by 5 taka per liter.,,X,X,,,Thousands,,,,,,Dhaka
Central African Republic,Constitution rewrite protests,22-Aug,Not free,President Faustin Archange Touadera ordered the creation of a committee to rewrite the constitution.,Fears that the president was changing the constitution to pave the way for a third term in office.,">1,000",General public.,1 day,The Constitutional Court ruled that the commission created by President Faustin Archange Touadera is unconstitutional.,,,X,,,Thousands,,,,,,Bangui
Germany,Letzte Generation protests,22-Aug,Free,Perceived government inaction on climate change.,Fears of catestrophic consequences of climate change.,<100,Climate activists.,Active,No policy/leadership change in response to protests.,X,,X,,,Tens,,,,X,,Berlin
Hungary,Logging regulation protests,22-Aug,Partly free,Government loosening of logging regulations to increase supply of firewood in response to surging gas and electricity prices,Fears of deforestation and government inaction to combat climate change.,">1,000",Environmentalists.,1 week,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Budapest
Kosovo,Feminist protests,22-Aug,Partly free,The rape of an 11-year old girl by five men in Pristina.,Frustrations with government inaction to combat patriarchial violence.,">1,000",General public.,2 weeks,"Samedin Mehmeti, the Director of the Kosovo Police, and Ali Gashi, the head of the Directorate for the Treatment of Prisoners and Minors, both resigned.",,,X,,,Thousands,X,,,,,Pristina
Peru,Illegal mining sector protests,22-Aug,Free,National police siezed and destroyed equipment and supplies used in illegal mining operations.,Lack of economic opportunity for those involved in illegal mining sector.,"1,000",Miners,2 days,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,X,,,Lima
